,RT10T,RT1T,RT11T,RT12T,RT13T,RT14T,RT15T,RT16T,RT17T,RT18T,RT19T,RT20T,RT2T,RT1N,RT2N,RT3N,RT4N,RT5N,RT6N,RT7N,RT8N,RT9N,RT10N,RT3T,RT11N,RT12N,RT13N,RT14N,RT15N,RT16N,RT17N,RT18N,RT19N,RT21T,RT4T,RT22T,RT23T,RT24T,RT25T,RT26T,RT27T,RT28T,RT29T,RT30T,RT31T,RT5T,RT32T,RT33T,RT34T,RT35T,RT36T,RT37T,RT38T,RT39T,RT40T,RT21N,RT6T,RT22N,RT23N,RT24N,RT25N,RT26N,RT27N,RT28N,RT29N,RT30N,RT31N,RT7T,RT32N,RT33N,RT34N,RT35N,RT36N,RT37N,RT38N,RT39N,RT40N,RT20N,RT8T,RT9T
Escherichia coli,218,164,285,120,230,314,153,138,281,287,508,544,308,498,147,3593,81,183,222,147,234,185,86,6959,257,310,208,154,105,300,38,1115,136,328,14958,183,231,330,248,222,189,159,223,163,411,466,215,204,303,90,6904,422,143,205,282,351,311,2053,505,366,764,390,664,980,216,352,357,1627,517,438,694,279,898,360,183,308,498,1050,11394,61
Salmonella enterica,63,65,59,23,80,68,48,37,71,81,121,143,88,140,42,905,29,61,49,20,48,48,22,2156,56,83,48,27,24,62,9,354,32,110,4626,49,52,94,63,32,35,45,62,54,97,117,53,49,68,25,1777,99,44,32,82,94,93,555,117,109,232,118,227,321,57,138,109,441,163,128,191,106,244,113,51,98,155,349,3352,16
Klebsiella pneumoniae,52,36,69,45,54,52,30,30,63,79,112,131,71,108,35,794,16,52,47,31,47,41,23,2120,50,72,42,32,24,47,5,251,28,96,4421,45,45,59,51,26,40,58,42,37,81,170,63,36,95,27,1601,74,29,47,67,99,86,474,110,74,187,112,192,304,37,128,111,371,149,111,181,118,260,105,44,75,114,260,2948,22
Yersinia pestis,27,21,26,10,23,19,17,14,21,32,27,20,20,40,18,305,5,26,24,4,16,13,6,334,19,21,13,15,2,23,2,116,10,47,819,19,17,26,12,18,13,13,19,14,27,27,16,8,25,5,439,44,12,17,19,30,19,153,45,40,72,30,68,94,16,27,41,128,48,36,57,34,72,25,13,37,50,119,537,5
Sodalis Candidatus Sodalis pierantonius,12,8,13,5,8,5,7,7,11,19,31,11,14,16,8,142,5,8,7,1,3,10,3,152,6,7,4,5,3,8,0,50,6,17,412,13,7,21,12,6,6,8,9,10,20,17,9,7,19,6,255,13,5,7,11,13,12,91,30,17,37,15,30,55,7,21,17,61,17,17,30,14,49,13,7,28,28,46,279,1
Pseudomonas sp. NC02,22,14,16,15,16,13,8,14,48,18,90,1,20,19,5,446,40,26,33,9,28,24,6,12,27,28,30,20,5,31,9,115,9,41,44,25,14,27,30,36,21,18,21,16,46,6,20,11,39,15,316,34,9,12,41,27,31,166,34,28,59,19,54,66,7,28,23,65,49,37,56,22,60,20,14,35,33,79,21,6
Acinetobacter johnsonii,43,17,64,21,33,19,8,10,90,37,139,9,18,39,31,836,53,16,84,39,55,58,47,36,93,95,58,203,33,79,59,306,33,94,60,65,68,99,55,61,57,51,42,56,146,16,55,53,105,40,984,153,38,65,86,116,33,545,61,19,76,35,75,83,25,41,40,155,54,40,40,35,58,25,19,34,49,91,46,16
Moraxella osloensis,121,41,55,14,13,8,8,6,58,12,66,2,17,143,13,881,25,15,201,10,45,21,13,115,55,52,18,94,8,49,24,321,24,25,166,19,41,144,39,31,306,24,16,12,55,26,28,30,45,11,298,70,18,20,69,29,24,376,37,35,148,31,43,71,8,35,49,60,43,34,55,31,538,41,16,31,51,52,17,2
Rheinheimera sp. LHK132,106,42,48,21,31,23,12,20,20,14,17,1,29,34,14,311,10,21,29,18,32,23,10,36,22,37,30,4,11,39,1,137,14,42,84,38,26,62,18,22,24,22,31,29,44,6,34,10,43,7,357,35,17,19,24,36,32,196,73,87,96,43,110,156,22,83,141,141,61,37,140,39,151,112,12,176,57,86,56,13
Stenotrophomonas maltophilia,6,4,14,4,8,8,3,3,13,7,55,4,5,14,21,243,21,47,52,17,80,49,23,16,49,48,27,25,26,28,10,182,14,36,24,15,23,37,48,18,7,8,11,26,57,0,22,12,31,5,425,25,18,10,18,18,13,186,16,14,46,22,33,98,51,20,37,77,60,93,106,9,33,10,5,17,22,24,12,5
Pasteurella multocida,14,11,613,9,15,8,8,30,8,11,22,7,25,16,9,376,12,17,9,8,3,8,2,58,7,2,7,1,2,13,0,25,8,13,55,13,4,2,7,6,15,16,2,10,10,9,7,6,4,5,65,111,3,3,9,9,332,30,3,0,36,10,4,78,21,24,28,47,55,38,38,0,6,2,2,1,4,4,42,3
Hydrogenophaga sp. NH-16,155,108,8378,68,126,104,82,225,101,171,173,19,152,136,69,1797,86,112,67,189,9,38,22,363,12,13,21,14,7,12,6,322,28,28,211,68,18,18,20,15,21,36,14,89,150,176,63,20,23,8,250,341,13,10,26,209,909,303,25,17,89,126,36,293,59,95,55,315,104,97,128,14,131,22,6,31,24,75,94,51
Ralstonia pickettii,215,165,264,143,225,173,105,104,521,290,917,45,179,325,136,5121,332,180,1031,363,657,555,249,187,683,1067,777,481,323,613,193,2573,298,879,332,483,553,845,567,566,391,485,608,552,1258,76,494,433,930,320,8529,1104,344,437,723,866,329,4940,395,338,624,359,593,747,120,265,310,931,501,299,474,221,588,231,129,273,349,637,275,74
Ralstonia insidiosa,6,7,13,3,8,5,6,4,10,9,26,2,5,8,6,141,10,2,18,11,12,17,6,10,15,18,14,9,4,15,4,55,10,32,15,14,13,15,19,12,8,18,13,11,27,0,17,8,24,1,192,32,10,7,10,23,7,126,65,31,81,38,71,102,17,29,40,27,50,35,56,24,81,30,6,20,42,102,4,6
Cupriavidus metallidurans,35,22,59,18,34,25,25,15,89,41,177,8,26,60,19,894,48,28,178,60,124,106,48,25,116,181,121,94,43,91,43,405,51,116,48,64,100,146,120,80,77,74,127,95,186,24,101,68,165,63,1463,186,35,76,117,155,53,965,54,47,95,51,92,134,15,60,48,142,81,47,79,33,71,27,17,49,71,115,55,12
Paraburkholderia fungorum,16,10,31,15,21,16,8,10,49,28,61,2,14,29,19,346,24,19,65,25,63,38,26,23,52,71,59,42,23,29,13,169,24,64,40,44,35,60,37,41,30,41,44,43,89,13,43,27,64,14,676,82,19,41,52,57,27,367,80,51,118,56,86,139,15,47,38,90,88,55,79,40,101,43,20,45,64,110,26,8
Paracoccus sp. Arc7-R13,447,39,568,237,12,9,21,14,22,397,1727,44,43,504,245,10194,613,17,42,54,17,16,3,216,12,19,70,111,27,29,16,81,11,25,446,22,14,117,7,78,30,15,7,7,178,81,19,12,72,5,249,22,28,20,172,32,497,709,13,17,42,2,80,31,3,11,28,1618,10,11,59,6,43,4,5,37,8,26,518,125
Campylobacter ureolyticus,5,361,46955,22,170,0,0,2050,0,5,3,43,0,0,0,0,10,0,1,0,2,0,2,0,8622,2,0,0,0,46,0,1,2,0,13296,7,0,2,0,544,136,539,10,0,10,7,0,0,27,0,303,0,464,11,14,1,72152,6,0,1,0,0,2,346,1,0,0,1,0,0,6,0,12,0,0,24,0,55,17,1
Bacteroides dorei,446,180,3399,0,0,873,238,59,13,6,5,177,4,75,0,6538,441,169,5,6,91,6,27,906,4112,4,3,934,450,121,7,0,0,408,2023,1,15,0,36,302,1005,26,702,15,317,43,1,1735,15,8,5,32,5,9,48,171,269,8,30,0,111,274,97,351,361,117,170,19,2,46,47,51,0,23,14,158,23,1439,847,14
Bacteroides vulgatus,310,211,2411,3,2,3157,806,125,55,131,59,451,1,48,0,141613,821,189,41,30,19,14,8,13909,3308,47,8,3543,1532,280,38,26,6,1391,5191,51,163,0,293,93,854,414,1197,127,807,481,89,917,6,15,141,63,0,26,35,309,4751,110,178,0,699,205,422,5050,593,280,470,35,92,5,1,45,4,34,5,184,89,5073,53,23
Bacteroides ovatus,62,45,1649,0,2,239,249,17,30,255,43,3,11,14,1,18793,321,275,2,1,9,6,3,584,2285,11,4,209,279,19,13,10,20,223,386,22,1,34,16,164,136,155,365,70,135,206,2,157,30,2,254,0,1,3,26,17,4136,24,0,2,9,83,33,2239,127,243,92,8,4,6,39,21,33,5,0,61,9,72,6,75
Bacteroides uniformis,30,271,2647,17,2,257,318,11,8,35,52,10,8,67,0,11980,183,758,10,0,13,2,1,846,4243,239,7,335,671,11,5,11,8,678,1295,7,22,1,641,100,271,97,705,43,436,1674,50,129,6,37,554,799,0,81,36,134,2065,8,13,0,1136,59,75,1028,428,154,265,3,71,6,7,161,13,382,5,969,130,127,19,4
Bacteroides thetaiotaomicron,22,919,494,1,0,56,79,11,10,293,63,24,30,27,2,7872,270,432,0,6,7,9,1,567,254,25,6,93,119,21,6,1,74,287,3205,20,17,10,110,112,602,365,233,13,42,909,3,3829,10,1,383,409,0,211,30,33,817,10,9,0,240,41,90,2637,159,73,37,33,9,72,12,5,4,3030,9,1687,47,260,21,116
Bacteroides caccae,21,129,4617,3,0,26,9,72,9,10,180,11,0,27,1,29580,183,399,0,12,0,6,0,3362,5723,143,2,59,4,57,0,1,117,46,816,9,24,3,0,692,4,523,811,0,87,715,1,79,0,1,53,5,1,28,26,14,236,15,12,0,0,121,3,9760,343,0,69,21,0,10,0,9,12,2,2,1369,18,103,0,5
Bacteroides fragilis,18,2256,42412,267,21,160,509,31,317,61,312,397,314,24,59,174212,200,1220,23,13,31,2,3,12745,13957,69,10,251,558,56,320,3,122,260,523,320,10,3248,1004,39649,138,541,515,45,348,2438,42,555,138,49,21540,83,23,331,9,45,346486,70,30,305,392,378,59,4972,246,167,104,40,36,14,156,267,1236,60,4,2121,29,4268,322,25
Bacteroides clarus,7,27,26,0,0,411,6,1,7,12,3,1,1,5,0,327,24,74,1,2,0,0,0,31,6,8,5,563,5,3,0,10,0,117,182,20,1,0,856,142,131,15,338,392,286,335,0,23,0,3,12,99,0,0,1,39,88,24,2,0,461,64,26,116,121,359,112,6,0,3,0,12,0,39,0,10,0,21,0,0
Bacteroides caecimuris,4,24,269,0,1,101,84,9,9,33,20,0,7,1,1,1896,12,7,5,0,1,0,0,185,243,4,3,86,117,11,5,3,9,150,158,0,2,31,3,19,16,26,83,5,4,28,2,33,1,0,17,6,0,0,25,10,3577,2,1,1,2,11,4,454,26,24,4,0,0,4,4,2,2,2,0,12,4,7,1,3
Bacteroides cellulosilyticus,1,18,1321,0,1,241,6,20,1,6,21,0,0,10,1,21068,22,0,22,5,10,0,1,2100,1717,3,1,298,4,39,1,14,9,51,113,66,0,0,2,29,657,483,182,15,26,2,7,80,1,2,514,176,1,2,6,13,2848,37,1,0,3,1,640,10013,105,134,6,49,11,7,1,12,7,137,0,24,14,11,36,0
Porphyromonas asaccharolytica,57,43,4556,39,6,0,1947,569,46,172,32,30,0,9,0,1,14,3,2,0,4,2,0,3,4688,89,2,0,2276,324,40,1,51,0,396,19,0,35,5,275,1,106,32,0,27,33,22,0,13,0,625,64,0,72,1,1,53144,10,0,24,17,3,0,826,13,0,0,2,12,0,11,0,162,15,0,442,2,225,95,14
Parabacteroides distasonis,6,14,261,0,1,2,26,9,1,24,2,5,0,13,0,1026,81,235,2,0,6,0,0,128,385,1,4,2,38,26,0,6,2,46,444,2,5,0,28,18,41,188,61,28,94,182,22,24,2,1,334,21,0,0,3,27,551,2,11,0,71,30,26,2411,22,72,44,0,54,3,12,11,3,14,2,102,18,51,5,0
Alistipes shahii,12,10,335,2,0,12,31,1,16,18,47,0,1,4,0,13915,50,5,4,3,7,1,0,560,700,67,1,39,88,6,18,6,19,22,88,34,7,1,0,5,6,489,387,200,130,19,57,20,10,3,17,48,0,17,0,7,391,23,1,0,1,10,4,3492,181,184,47,4,63,0,17,5,0,50,1,201,17,4,14,2
Alistipes finegoldii,10,7,2428,0,0,42,17,1,7,18,22,0,0,3,0,11809,33,95,2,13,4,1,0,485,4029,38,1,59,39,2,4,1,4,316,57,14,2,0,0,15,226,14,56,10,74,118,106,97,13,4,104,1,0,50,9,41,73,12,3,0,3,18,85,154,19,26,20,13,81,2,11,7,0,1,0,318,2,1,6,0
Odoribacter splanchnicus,22,181,5025,3,0,42,13,28,18,10,81,1,5,49,0,9709,117,199,4,1,10,5,0,1319,5536,57,0,116,19,42,6,1,113,133,384,19,55,7,9,213,206,59,491,0,62,692,8,4,2,1,456,1,2,14,15,40,166,16,21,1,17,16,24,844,162,3,32,2,20,0,3,18,1,8,0,249,20,12,9,10
Butyricimonas faecalis,2,16,33520,1,0,45,145,14,1,15,65,0,0,4,1,16194,164,69,0,9,2,13,0,1290,11393,26,2,49,177,18,0,1,70,18,248,14,5,0,14,767,27,33,18,1,85,105,10,1,13,1,845,89,0,49,53,6,95,17,3,0,19,12,8,366,16,1,34,14,6,1,12,11,45,74,0,766,103,1,25,7
Faecalibacterium prausnitzii,465,112,994,4,1,2,76,6,22,22,194,15,1,33,2,51880,229,406,29,0,18,8,2,1921,1552,51,2,0,154,2,17,6,10,1948,12918,190,75,3,57,5,329,214,508,88,137,3764,37,26,1,1,10,127,3,40,134,64,2270,178,167,0,156,0,115,1659,148,691,111,8,66,1,0,36,1,27,1,1403,211,290,93,17
Flavonifractor plautii,1,3,1768,0,1,21,32,6,0,35,51,11,0,0,0,3696,14,3,0,1,0,0,0,169,363,2,1,12,41,12,0,1,7,26,73,1,2,0,21,23,12,47,12,15,14,27,11,48,1,0,1506,182,0,15,1,3,56,3,6,0,84,7,2,424,7,87,8,15,10,4,1,5,19,43,0,272,5,115,2,0
Eubacterium rectale,145,14,1055,0,0,0,6,2,21,11,6,6,0,1,0,1145,7,13,13,1,8,0,0,74,820,4,4,0,2,0,7,0,0,12,60,41,0,0,0,0,115,17,95,6,266,22,4,159,0,2,2,34,0,3,28,5,627,24,0,0,1,0,10,223,87,103,125,0,6,3,1,1,0,4,1,44,302,6,68,1
Lachnospiraceae bacterium GAM79,20,19,109,2,0,0,0,4,0,46,9,0,0,1,0,882,5,5,0,0,7,0,0,57,108,2,1,0,1,4,1,6,0,34,77,33,2,0,153,17,1018,52,53,39,19,18,5,15,2,1,2,0,0,6,56,2,14836,32,0,0,207,0,126,188,52,203,3,0,0,0,1,39,1,0,4,258,10,1,26,1
Anaerostipes hadrus,135,356,15,0,0,364,4,0,0,20,2,2,0,7,0,284,1,4,8,0,1,1,0,13,34,0,4,112,7,0,1,0,0,41,86,102,1,0,24,37,1067,273,46,19,135,71,5,76,0,0,3,21,2,0,57,1,423,135,3,0,50,2,110,890,16,71,56,1,2,14,0,0,1,2,25,18,166,13,36,0
Clostridium botulinum,142,89,9818,61,92,77,54,251,104,97,174,24,122,121,76,2192,79,106,34,59,10,14,18,273,37,29,47,10,9,26,4,201,26,62,159,84,15,24,29,23,34,23,10,40,49,82,35,31,22,9,217,1178,10,9,48,99,2318,300,26,14,89,131,40,188,34,90,72,339,120,85,103,20,72,23,6,41,22,74,138,29
Clostridium saccharobutylicum,32,13,33,9,29,16,14,9,24,35,45,90,25,60,23,261,7,26,19,10,12,8,6,876,18,31,24,11,10,15,1,116,13,50,2372,22,17,22,12,17,19,12,31,15,34,65,31,16,31,10,758,21,9,20,29,31,26,156,35,30,73,24,60,99,17,48,43,114,45,27,35,36,83,30,11,26,42,99,1496,6
Hungatella hathewayi,2,79,15387,4,4,14,1,11,0,68,32,3,0,0,0,33899,45,1,0,2,0,0,0,1644,3520,8,0,6,14,4,1,0,18,0,75,0,5,472,1,4203,6,17,0,2,2,5,9,5384,1,1,56,87,0,8,0,0,5051,0,1,16,6,2,3,96,3,3,3,10,1,10,5,1,8,10,0,19,0,23,0,0
Eubacterium [Eubacterium] hallii,116,117,15,1,0,88,0,3,2,5,1,0,0,0,0,1282,20,43,16,0,3,0,0,102,31,4,1,139,1,0,2,0,3,159,488,24,1,0,0,1,69,48,23,23,81,356,54,24,0,0,3,24,0,1,17,11,1983,67,0,0,2,0,11,133,26,122,30,1,119,3,1,2,0,10,5,14,58,5,26,0
Streptococcus pyogenes,22,5,20,11,29,20,25,8,4,28,19,150,40,160,11,575,17,9,6,3,8,10,6,4652,6,13,6,7,6,11,1,91,8,24,14657,12,11,14,12,8,7,12,7,8,21,181,22,6,12,3,1635,14,4,2,29,13,63,114,106,84,152,81,161,265,51,79,88,195,104,75,149,49,184,73,28,67,123,339,9637,11
Parvimonas micra,21,10,78,2,1,0,77,9,1,3,7,0,1,4,1,86,8,1,3,0,4,0,0,3,341,0,0,0,156,1,1,0,7,2,151,4,0,146,8,276,24,122,0,2,6,2,1,20,6,1,1020,0,0,73,77,0,2277,3,0,36,16,6,0,593,0,4,1,2,0,5,11,1,95,0,0,926,2,2,22,0
Micrococcus luteus,53,10,15,26,18,6,12,4,17,127,73,1,20,87,16,271,16,18,55,34,15,38,15,218,21,54,32,100,24,44,9,230,13,36,18,16,16,68,26,33,52,23,22,29,63,8,46,16,35,7,290,27,24,33,99,64,14,499,13,33,39,16,34,40,8,23,57,62,26,17,35,13,137,10,5,24,49,67,50,8
Microcella alkaliphila,39,20,34,23,39,23,13,18,12,17,15,2,16,11,18,238,7,19,35,8,18,21,7,36,28,17,23,14,10,18,4,113,11,34,60,37,22,35,25,41,15,19,19,16,52,19,25,14,34,13,417,42,9,16,21,52,15,178,47,35,84,36,89,107,16,38,56,133,62,50,54,14,85,20,18,48,52,89,43,11
Cutibacterium acnes,101,77,109,61,66,45,57,36,286,151,398,5,65,123,66,1333,217,120,376,153,651,105,54,262,162,419,288,213,98,182,337,952,84,234,251,164,173,1368,320,309,96,136,145,165,368,46,172,105,271,60,1632,375,153,139,621,239,143,3282,75,64,115,153,148,324,26,56,141,427,90,54,286,44,237,43,41,102,117,211,132,21
Actinomyces oris,17,4,11,7,5,5,4,3,7,12,31,6,7,4,6,165,15,10,10,1,11,3,6,18,9,20,34,30,4,16,14,661,24,14,14,12,13,36,20,31,6,7,13,23,22,0,51,8,34,11,88,22,11,12,47,31,3,170,7,5,19,8,36,28,7,5,21,36,5,8,12,2,12,4,3,7,7,56,7,2
Bifidobacterium longum,2,8,174,2,3,8,10,1,3,2,11,5,0,11,2,51,0,5,7,2,2,2,0,122,109,6,1,1,11,3,0,14,3,4,395,3,5,3,5,4,28,7,2,99,258,14,116,3,1,2,99,2,2,10,194,13,97,22,5,2,44,5,18,58,2,301,38,22,64,6,11,2,5,3,2,64,116,12,225,0
Collinsella aerofaciens,42,54,493,5,5,7,29,2,3,5,1,8,0,18,0,27904,69,48,35,0,7,10,1,1051,564,54,3,2,35,17,5,1,6,103,262,57,1,1,10,19,80,33,85,139,628,168,190,12,2,1,46,1,0,15,182,19,586,23,1,1,35,11,15,389,37,504,178,1,131,1,14,6,9,1,0,101,181,138,14,3
Fusobacterium nucleatum,117,323,8044,2269,79,34,50,265,12,4155,9,202,158,6,5,1144,9,9,6,6,17,0,1,166,3647,36,11,7,74,260,18,14,16,1586,580,2387,1,2124,64,25437,1436,4741,21,23,648,4,84,1,13,6,9165,89,90,476,285,18,604,401,5,51,39,14,20,20149,6,64,61,29,4,3,340,56,63,90,10,2234,27,891,155,1
Akkermansia muciniphila,2,148,2,0,0,0,0,60,29,1,174,0,0,46,2,35,1,1867,0,0,22,3,0,1,0,6,4,0,0,366,18,1,75,0,7,60,0,0,0,3,91,41,117,0,0,1520,149,6,62,0,71,32,0,343,101,0,21,134,0,0,0,0,9,435,25,0,0,0,157,0,136,0,3,12,0,9626,399,3,179,1
