gene,ABCA6,ABCA8,ABHD16B,ADGRL3,ADH1B,AJM1,ANKRD20A3,ANOS1,APC2,ARL14,ARRDC4,BASP1-AS1,BEST4,BMP6,C5orf17,CA7,CADM1,CAV1,CCDC102B,CCDC162P,CCDC88B,CH507-145C22.1,CPNE7,CTAGE4,CYP4F11,DDX3Y,DMD,EFCAB2,EIF1AY,ESRG,FABP2,FAM239A,FAM27E4,FHL2,FN1,FSBP,GBP5,GOLGA6L22,GPR15,GSTT1,GTF2H2,GULP1,GYG2,HAGLR,HHIP,HLA-DRB3,HLA-DRB4,ICOSLG,IGLL5,IL1B,ITGA8,ITPK1-AS1,JCHAIN,KCTD11,KDM5D,LAT,LINC00910,LINC01002,LINC02316,LMOD1,LOC100128770,LOC100133331,LOC100507412,LOC100996745,LOC101927069,LOC101927556,LOC102723407,LOC102723798,LOC102723996,LOC102724219,LOC102724971,LOC102725009,LOC105369526,LOC105378726,LOC107984449,LOC107985558,LOC107987348,LOC110384692,LOC148696,LOC442028,LOC642249,LOC646652,LOC728613,MIR6723,MMP3,MT1E,MT1F,MT1G,MT1M,MT1X,MT2A,MTRNR2L1,MUC5B,MYH11,MYOCD,NKX2-3,NPHP3-ACAD11,NPY4R2,NR4A3,NTN1,NUDT4B,NUTM2B,OAZ2,PARP2,PHACTR2-AS1,PI15,PIEZO2,PLCH2,PLEKHA4,PMP22,POM121L10P,PRKY,RARRES2,RCAN2,RHPN1,RPS4Y1,S100P,SERF1A,SERF1B,SLC22A3,SLC28A2,SLC44A5,SLC9A3-AS1,SLITRK6,SLMO2-ATP5E,SMARCA1,SMG1P7,SNORD133,SPDYE11,SPECC1L-ADORA2A,SSPN,ST6GAL2,STX16-NPEPL1,SYN3,SYNPO2,TCF21,THNSL2,TRIM17,TTLL7,TTTY15,TUSC3,TXLNGY,UGT2B17,USP32P1,USP32P2,USP9Y,UTY,ZFY,ZNF100,ZNF165,ZNF521,ZNF775
RT1,-0.02840934,0.15816454,1.39575492,-0.05550357,0.32469509,0.53098401,1.04622802,0.85057693,1.96349965,0.08920529,0.1763111,0.46927741,-0.43897979,-0.30185577,0.94542364,-0.14943227,0.38807448,0.88989518,0.21374008,0.20400893,0.2642619,-0.30039195,0.52060262,0.365479,0.56054946,2.53058206,0.56060767,0.60255409,1.78125344,0.60010177,-0.6790448,-0.21174727,0.81851081,0.07901797,0.49720695,1.25406323,0.49210756,2.03429137,0.28764552,1.33647688,1.17741216,0.1265338,0.14196038,0.06098319,-0.07048546,2.93287291,-0.49883918,0.99699571,-0.10104306,0.85439464,-0.01533784,2.66180256,-0.81303657,-4.08987595,2.89695806,0.79680046,0.57399919,0.72855457,1.25624739,0.76156837,2.14045335,0.94311647,0.32046494,2.3251729,1.13934897,2.71603826,0.02955759,2.36192707,0.9426514,0.43870093,0.31830368,1.04378028,-0.1868926,3.21248726,1.19775846,1.50404686,1.97919049,-3.98426875,2.54913379,2.4592076,0.75342824,2.77384225,0.69633123,2.87281347,0.60291872,-0.56587325,-0.7627658,-0.90165953,-0.04762694,-0.68341051,-0.78344366,2.52976715,0.65438811,1.19604773,0.7334088,0.50214335,0.9574181,0.88522026,2.09700892,0.80743136,-0.08450842,1.89411737,0.40547494,-2.31438665,2.78427507,0.14641765,0.36103499,0.87532704,0.65856583,0.83107487,1.54781186,2.06765938,0.02586421,0.72118923,0.67931883,3.02241705,-0.33998729,0.32722732,2.09409843,0.36485591,-0.52295426,-1.96816573,-0.36451579,-0.58386164,1.59149297,0.28327195,0.89275982,0.87418279,2.77160393,0.41180759,0.30224401,0.36337941,0.67172223,0.66061085,1.36094258,-0.08388714,0.85545383,1.72965125,0.20761451,1.88490731,-0.30706437,2.41851105,0.3855109,-1.30937437,1.70551299,3.16051739,1.88123834,2.24254216,-0.41458242,0.37365834,0.23554866,0.30165357
RT2,-0.006922058,0.363795393,1.457502925,0.022020882,-0.019175745,0.856911042,1.595183188,0.854972541,1.955625598,0.236338396,-0.320956238,0.330163489,-0.796693632,0.093190333,1.385031567,-0.183226528,0.136052584,-0.303880884,-0.342972054,0.178284043,-0.045444987,-0.131834486,0.174350771,-2.233535841,0.24128869,2.328430754,0.147493331,0.63003647,1.63721407,0.81094752,-0.202253635,0.408854407,0.543805528,-0.319922902,0.058636803,1.124394564,-0.053751342,2.040180984,0.63815174,-4.160691349,0.219057892,-0.283906824,-0.081515703,0.45221448,0.261407947,1.465302306,-0.060282432,-0.344403686,-0.420757096,0.930507034,-0.012959864,2.820079288,-0.115594567,-0.513997235,2.778916704,0.015791925,0.442506248,0.436186182,0.925928985,0.028919009,2.456724743,0.634470241,0.254186234,2.078602433,1.334470439,2.505894686,-0.056236579,2.326512876,0.549031915,1.140579193,-0.057015722,0.598977013,1.183508102,2.395422301,0.755806864,-1.684723153,2.741281817,-1.063206147,2.753736634,2.690014028,0.833854022,3.029882684,0.845967396,2.890085053,0.084975628,0.278363917,0.846512088,0.644518946,0.853336352,-0.094562058,0.257989659,0.451219176,0.06892602,0.171988948,0.189704506,0.056978372,0.564023605,-0.118838482,1.683316883,0.094481556,0.100802993,1.722420421,-0.056082574,-2.194258705,2.665458826,0.611780897,0.040127274,0.663324035,-0.280539584,0.040095444,1.080452925,2.131816061,-0.64971665,-0.259629105,0.242108493,2.847530471,0.339413972,-4.627627432,1.592510297,-1.042934016,1.053766337,1.208551913,-0.011374356,0.457661752,1.06238221,-0.016839787,0.879217812,0.815913887,2.976845159,-0.20708504,-0.312996642,0.691923895,0.697008052,0.405327582,-0.033289069,0.014552932,0.724998205,1.84583638,0.144731564,1.716526366,0.622009798,2.392961979,0.627079646,1.604730376,-1.021700628,3.079837869,1.865301427,2.180169147,0.168363033,-0.109496266,-0.076482445,0.702412785
RT3,-1.65086943,-5.22633052,1.75115516,-4.350637,-3.03184134,-0.06253333,0.78850596,-0.21766426,1.91117384,-2.65806562,-1.32169731,0.24606847,-2.61702647,0.55857875,0.52656721,-3.17896193,-0.94961833,-2.6921607,-2.09471598,-1.93764579,1.65706627,-1.51340123,-0.42035634,-1.84915116,-2.61693572,2.25242136,-3.25783772,-0.06222957,1.89632277,0.21262337,-1.11625793,0.13061647,-0.45079165,-1.89938421,-3.39842208,0.73879136,3.06236491,1.54298125,0.68953919,-4.16069135,-0.3957913,-4.42734309,-2.00520271,-4.32354032,-4.61378556,-3.40416873,1.72577207,-0.46776781,-0.62020216,2.2760612,-2.07787902,2.86213809,-0.29070747,-4.08987595,2.75338014,1.81601885,0.34700153,4.50211134,1.9669149,-3.55146539,0.14369731,0.66113214,-0.35005653,1.34946646,1.03369093,1.98738349,-0.24641063,2.57281731,-1.12125893,0.56982831,-0.22020628,0.09887914,-3.10466334,1.95707197,-3.29394012,-1.92588521,1.19008856,0.76932144,2.86671417,2.14551057,-0.16791861,2.23763064,-1.04451697,1.50379069,0.98687762,-2.17897947,-1.62393638,-3.12476521,-2.77403792,-1.31950195,-1.33444118,-0.29202564,-2.65045076,-2.90416172,-3.90608068,-4.61585046,-0.42295788,-2.60635226,-1.11032704,-2.15931337,0.17467013,1.33421039,0.95085976,-3.08814065,2.36206684,-3.03163618,-3.28310857,0.88003293,-0.7660474,-3.54342349,0.94688898,2.20289697,-3.75579698,-2.05139651,-0.30150695,2.57795508,-1.02294762,0.28175741,-0.502894,-0.68195097,-1.3591073,-1.83793876,0.0096686,-3.38722202,0.68181006,-2.56057979,0.39117507,1.6312787,1.89860238,-0.80550603,-2.23702408,-1.69547474,1.6032622,0.12371342,-2.89560658,-2.60199404,-1.99957857,2.1057147,-1.07723459,1.39161961,-3.65696846,1.77442734,-3.94883165,0.866626,-0.41368512,2.64850592,1.90346067,1.81375204,-0.20789463,-2.55170764,-2.03657723,-0.99061184
RT4,0.202423357,0.280355112,1.492800707,0.220073717,0.980126545,0.591048248,1.222662918,0.561425349,1.234420464,-0.026831022,-0.140882429,0.305709587,2.342166621,0.00615544,0.839677297,1.935660942,-0.228845339,0.029827011,0.095951193,0.268547455,-0.002436912,0.373747372,-0.627995701,1.977861901,1.25337369,1.783774824,0.026825848,-0.758134581,1.89632277,0.272830653,-0.00482523,0.528406252,0.376022273,0.433190262,0.390375729,-3.621424128,-0.362072744,2.055937845,-0.639398007,1.688633431,-0.630921992,0.089574947,0.759988521,-0.049658629,0.835124021,0.603182638,-0.788985925,0.191087569,-0.569677278,-0.78080707,0.870464844,2.531326894,-0.156519073,1.031447642,2.67805749,-0.719027952,0.613973624,1.162890424,0.712313793,0.508977618,2.003271317,-0.076528399,0.34672796,1.451917099,1.476664527,2.612874977,0.040573168,1.805427246,-0.287601351,1.809324438,-0.000477267,0.717069106,1.084993932,2.049309356,0.200763088,1.389952323,1.402740417,1.488388402,2.181059277,2.145550045,0.552574854,1.481229365,0.111448084,0.863989492,-0.682279524,0.30758586,-0.598150831,-0.6529821,0.223173559,-1.117452533,-0.417572292,-1.157549963,1.157037449,0.17887689,-0.081392745,0.367756159,-2.052161772,0.364199484,-2.160069932,0.576907705,-0.220771426,1.155313139,0.369561997,-2.077898818,2.897900097,1.468177191,0.109720566,-0.569236226,0.279087193,-0.416662959,1.040354893,1.545244776,0.969622333,0.260667326,-0.108440858,3.019927011,1.450294412,0.975472458,0.597865309,-1.087385779,0.483882191,1.287941748,0.21994645,0.18932825,0.951916307,-0.114287981,0.553049552,-0.233908237,1.963742349,-0.726124175,0.190903284,0.402953523,-0.038014626,0.368117721,-0.033399282,0.42001804,0.120684971,2.120730666,0.23870148,1.266788687,0.467474133,1.976212981,1.063836318,0.563196389,-0.308562486,2.215556321,1.429539874,2.248667373,-0.256431061,0.07040566,-0.021674209,0.228628433
RT5,0.85657472,1.04795304,1.69136725,0.79151328,0.8145962,0.95842802,2.19470925,-0.64254745,1.77409424,-0.50208401,-0.15530301,0.81452848,1.07927429,0.60898798,1.20247081,0.96714358,0.30555345,0.6568196,0.65557074,0.82816324,0.78078363,-0.25674219,0.69887524,1.2329027,0.80112389,-0.71327201,0.68827878,0.99233691,-3.31861299,0.99122722,0.46480325,0.55649537,1.07918223,-0.10787758,0.28699611,1.63519586,0.07489551,2.03971156,-0.39486327,1.24198603,0.84021787,0.97983316,0.37230431,0.25528794,0.65576961,2.0620416,-1.04065778,1.33635324,0.65280786,-1.32603412,0.39111273,2.46077154,0.92204998,-0.24092055,-4.56515809,0.17575657,0.56736836,0.70478809,1.32796559,0.68580037,2.52244196,0.75151523,0.46447773,2.210188,1.70309864,2.79001604,0.44111957,2.17727959,-0.14116322,-4.3263833,0.59113791,-1.05125589,1.33011189,1.13030509,1.04728015,1.13154063,1.01431792,-3.98426875,3.15073256,3.16192423,1.17337277,2.99350066,1.23791364,3.25000814,0.04860798,1.18089894,1.61525735,1.46245151,1.92535619,1.16319202,1.04868742,0.06529146,0.64626779,0.68986524,0.34361384,0.40803006,1.1090955,1.44678848,-1.77434172,0.73633544,0.54535288,1.49731345,0.44699108,-1.99684105,3.02306324,1.36691975,0.30041037,0.14860357,0.45034792,0.10463396,1.26634482,-2.57600047,0.80158254,0.63742556,0.47168293,-4.3603294,-0.79441322,0.21462077,1.99996468,1.71044696,0.80445384,1.86692597,0.82586243,1.34897643,1.59357347,0.26727161,1.0065844,0.35387843,2.91310673,0.35999412,0.35551323,0.81541929,0.75488273,0.59406856,0.11855293,0.59622284,0.56216373,2.545408,0.51832024,-3.25780584,0.51742137,-4.56048152,2.37199993,-1.62091393,1.03199,-4.4802426,-2.42680362,-3.93593708,-0.06979158,-0.52845362,0.48111924,0.85521485
RT6,0.272785803,0.191248787,-0.402394349,0.246619452,0.440424759,0.174309063,-0.142398571,0.828304294,-0.112027988,0.661724482,0.042700644,0.102253131,0.38953177,-0.181021209,-0.618115318,0.280895404,-0.000212296,0.046976689,0.134659376,0.286247032,0.612141841,-0.538864982,0.102891807,1.565395853,0.132943769,2.53423836,-0.145806472,0.456306161,1.762791377,-0.635509342,-0.050456973,0.256947061,-0.006000275,-0.276463638,-0.762855156,1.273411163,0.656055968,1.238325545,0.026350199,-4.160691349,-0.60137742,-0.349687012,-0.832482454,0.133129858,-0.330198997,3.048975839,1.376140702,0.67856721,0.263140965,1.217534442,0.190110828,-0.591411484,-0.397749682,0.230846926,2.98445108,0.651180271,0.051529926,-0.645586554,-0.388437587,-0.888877566,-0.836702568,0.437430592,-0.003511169,0.424117029,-0.972835287,-0.354102755,0.359475831,-0.391797331,0.71550088,0.986191938,0.319579361,-0.85456185,0.571637336,-0.752348521,0.505131936,-2.126555905,1.236185838,1.406067019,-0.991796543,-0.045117132,0.543687269,-0.458662264,0.385825959,-0.707227207,0.416332764,-0.407401682,0.054494407,-0.105656954,0.208844598,-0.25789845,-0.72096371,0.81679302,-0.031665697,-1.091951568,-0.59189468,0.332909428,1.022352889,0.171336859,0.906711513,-1.044952728,-0.475966442,0.237621538,-0.184573813,0.239638516,-0.908762393,-0.63374091,-0.169582146,0.929370679,0.300816191,0.05663021,0.163886551,2.036125242,0.224922556,-0.308418873,0.358696071,2.751182716,-0.621997196,-0.937124296,0.745514964,0.957370205,-0.570002943,0.371456888,0.599946484,0.062765526,-0.407677271,0.200580232,0.088109084,-1.84334615,-0.637846719,0.837755958,0.089511296,0.24182045,0.401852483,-0.076829173,-0.479262983,-0.283600441,-0.700306945,0.021280636,-0.339262579,1.955256688,0.134768379,2.518455166,0.240197221,1.730885876,1.065364343,3.214356015,1.970866527,2.34145049,0.539006117,0.614968517,0.275958195,0.197856774
RT7,0.152752305,1.147919439,-0.364654021,0.737357401,0.457000554,-0.262246632,-0.891048061,-1.207077258,-0.633324912,-0.214928389,-0.143042319,0.256180362,0.912261986,0.465936589,0.408581853,1.297663698,0.402816758,0.567956065,0.577398143,-0.430569893,0.141241574,0.369063846,-0.197212785,1.332808521,0.413957916,-4.68392235,0.684107131,0.58579195,-3.318612988,-0.113155071,0.012326537,0.451751442,-0.127583042,-0.226992659,1.089854308,0.94694721,0.528592784,-3.495431329,0.925833813,1.223803713,1.167281602,0.609719893,0.781706061,0.754130376,0.875152167,2.787090903,-0.566153422,-0.789426954,0.526251607,-0.178631667,0.36495016,-0.732777629,1.014075125,0.632801678,-4.565158085,0.005535424,-0.505325862,-0.419822055,-0.120120873,0.455867793,-0.40680572,-0.446315029,-0.287234916,-0.247980378,0.009827662,-1.302478457,0.402347092,-0.296277383,0.917819229,1.945566862,0.683103014,0.026068126,0.411839942,-1.088563685,0.038258442,0.806124149,-0.973425209,1.157078965,-0.539811419,-0.480435203,0.047591141,-0.268957139,0.031995451,-0.589444172,1.357941304,0.544756336,1.08499201,1.33895674,0.943867082,1.211980838,1.084553058,-0.190344952,0.011875316,0.793006378,1.237043793,0.525813094,0.454698388,0.016641855,0.430946704,0.741584798,-0.179136733,-0.714089302,-0.177612356,0.734712944,-1.09108395,-1.337040462,0.38045949,-0.569236226,0.268026368,0.699338199,-0.106721336,-3.023082825,1.01394558,0.509886794,-0.348918902,-4.360329401,0.275106104,-4.627627432,1.923912409,-1.288056474,0.509931808,-1.715340414,-0.445641337,0.615555349,0.369021135,0.288554268,-0.247789093,-0.927055418,-1.914890814,0.23504902,-0.07753983,0.685943046,0.366452004,-0.05531679,0.615095254,0.964641043,0.273410349,-0.712688539,0.42991355,-3.96436271,0.737480694,-3.483774062,0.70412332,-2.259825194,0.638585749,-4.480242596,-3.010858461,-3.935937084,-0.134709996,0.233842717,0.456628223,-0.132384912
RT8,0.418534326,0.809147722,-0.482437057,0.701220205,0.841607146,-0.512058431,-0.938523744,-0.351605995,-0.86971369,1.013390187,0.140824412,-0.414464578,-0.203436822,-0.094588704,-0.800731194,0.234655918,0.911686323,0.821738606,0.94137041,-0.215844912,-0.249625054,0.373634415,-0.795049786,1.124870036,0.099993023,-3.990775169,0.626483101,-0.598909032,-3.318612988,-0.490096727,-0.072926041,0.369934943,-0.547794941,0.408092762,0.854935999,-3.621424128,-0.334710494,-3.495431329,-0.023482175,1.51948126,-0.562353986,0.69690656,0.611631478,0.980759118,0.630603465,-3.404168729,0.673136233,-1.05632388,-0.001753291,0.502539322,0.311853207,-0.948671553,-0.202777397,0.524660238,-4.565158085,-0.379520812,-0.077533247,-1.013197435,-0.495262728,0.491585875,-0.923607144,0.065913171,-0.206589357,-1.184859891,-0.706246531,-0.667798775,-0.103042031,-0.471756709,1.14598085,1.827180964,0.031569597,0.877471914,-0.88908962,-0.50117694,0.789095391,1.236901148,-0.57779746,1.749363745,-1.145947223,-2.185183296,-0.967033934,-1.6654271,0.206867302,-0.8407586,1.749983392,0.814690997,1.084135252,0.923829347,1.242588367,0.838010836,0.528375811,0.428813696,0.550151035,0.679571085,0.834494139,0.531644014,0.636037451,-1.899584193,2.431024305,0.509896995,-0.606779907,-1.141805338,0.272286335,1.140391612,-2.700521862,0.923871934,0.705875481,0.302065508,0.002323202,1.099042476,-0.613603983,-3.505884004,0.149543748,0.809442899,-0.368517664,-4.360329401,-0.19415979,1.295555598,-3.906987181,-0.777230851,0.71432259,1.627734113,-0.947121098,0.368147176,-3.313211276,0.68697183,-0.339132331,-0.38282265,-0.963837857,0.370341791,0.401325207,0.614808265,-1.596441451,-0.200439645,1.004240464,0.533160696,0.741261458,-0.895010096,0.232457207,-2.887655256,0.684670113,-3.867334334,0.556005045,1.486075,0.8513438,-4.480242596,-2.784494132,-3.935937084,0.266267315,1.105003263,0.528379821,0.221023834
RT9,0.489045798,0.197149989,-1.09554153,-0.11171602,1.197181251,-0.162163174,-0.305601773,0.436262206,-0.805175169,-0.333896961,-0.091825189,0.035117573,-0.419787403,-0.371711016,-0.644625479,-0.539904596,-0.123394919,0.671498764,-0.075891252,0.019780799,-0.606160259,0.043537424,-0.795049786,-4.633791962,0.481785059,1.806799667,0.496361203,-0.367920392,1.615860945,-0.387888534,-0.09205087,-0.657388298,0.23244334,-0.209108759,0.424369791,-0.407158916,-0.783737947,1.07565453,-0.202888277,0.842543294,-0.118568751,0.187391211,-0.308444499,0.257337174,0.082134424,0.802864432,-0.605225902,0.43194026,-1.228408562,-2.242324852,-0.465493585,-0.814604972,-0.950510743,0.723372879,2.557707767,-0.474830992,-0.266854777,-1.633181856,-0.646379484,1.296215147,-1.448730072,-0.120454238,0.058927942,-0.545152118,-0.768134161,-1.88590609,-1.399498036,-1.857801122,-1.06297651,1.306289779,-1.283492842,-0.618023859,-0.6769151,-1.088963605,0.378888869,-2.71434257,0.826006239,-3.984268752,-1.145947223,-0.239273147,0.552263062,-0.710344028,-0.362943605,-1.081920657,-1.16778734,0.5710932,0.936828413,1.014677494,1.186931463,0.659409704,0.725058948,0.324319772,0.302131043,1.557245839,0.612986802,0.196333893,0.327199736,0.468664478,-0.649499195,0.448653369,-0.096431081,-0.00897868,-0.208610521,0.669676343,-0.908762393,2.129332992,0.228436873,-0.080656212,-0.518235626,-0.19703435,-0.552144583,1.404579112,0.182543333,0.34216036,-0.529302513,2.18502026,-0.392628716,0.501300398,0.396496662,0.139046548,0.979846686,-2.491638492,0.391545214,-0.002831756,0.744728604,0.065405454,-0.122487783,-0.493419433,-0.70985833,-0.395773953,0.344110602,-0.37650315,-0.082658118,-0.38313136,1.09146115,-0.418636724,0.471341842,-1.588157276,0.384540863,1.440371115,0.319596191,2.311647623,0.214240934,-2.364206757,-0.03237632,2.76232211,1.675842545,2.116262667,0.382266248,-0.673097457,0.042864313,0.166108076
RT10,-0.1860378,0.4949087,-0.88790216,0.02835378,0.1104385,-0.6114309,-0.91569762,-1.10863719,-0.48672144,0.31850978,-0.22887735,-0.11074126,-0.54776154,-0.44130431,-0.69129525,-0.46675372,0.09045541,-0.06825517,-0.26449023,-0.51812578,-0.26931947,0.32954369,-0.1019026,-0.27332099,0.6800707,-4.68392235,0.29465007,-0.52716007,-3.31861299,-0.64665876,-0.84485789,-1.09108875,0.01095128,-0.1584263,-0.0532337,0.62891228,-0.802379,1.23814966,-0.0875342,0.82292212,-0.14360564,-0.08348572,0.20053255,-0.01139445,0.09122996,-3.40416873,0.9955188,-0.28456021,-0.7675939,0.44891823,-0.18547752,-1.5087514,-0.78318429,-0.51879516,-4.56515809,-0.27871611,-0.41385493,-0.92455872,-0.32313836,0.1484639,-0.84213983,-0.30457492,-1.0737794,-1.10309394,-0.82648517,-1.66604193,-0.66804942,-1.8581344,0.38090764,1.37959676,-0.76043239,-0.7535634,-0.41908599,-1.08896361,0.33477937,1.31100912,-1.54790479,1.7533965,-1.14594722,-0.93242033,-0.0480488,-1.16717107,0.02905279,-0.91486657,0.53696075,-0.36230725,-0.30218054,-0.19250275,-0.06417566,-0.21509128,-0.58442711,-0.3453086,0.59718591,0.56504406,0.21295649,-0.07255568,0.64867242,-1.09551379,1.74474363,0.20781024,-0.52061882,-0.90519017,-0.6723086,-0.02614605,-0.62108032,0.64887502,0.16687898,0.7227502,-0.24279926,-0.1030054,-0.84922255,-3.20358016,0.52086914,-0.14715906,-0.10545296,-4.3603294,-0.89026118,-0.29889609,1.21543394,0.2035984,0.37937397,-2.56903316,0.7512643,0.1391385,0.13289573,0.15351272,-0.30365926,-1.01666758,-0.69794232,-0.35742242,-0.28249319,0.44483326,0.39697353,-0.18859092,0.39261601,0.13925641,-0.80818454,-1.81130083,0.0145306,-1.77237404,0.10810013,-3.72974867,0.95550324,0.45203101,-1.32073318,-4.4802426,-2.80161498,-3.93593708,-0.2481697,0.50017636,-0.36887041,-0.6288218
RT11,0.241337396,0.912128447,-0.482437057,1.476161458,0.966610709,0.319674913,-0.898675346,0.442906749,-0.358888066,0.076301884,0.648318805,-0.05950536,0.383057189,0.663296023,-0.709373666,0.148768304,0.43199661,0.694903952,0.663057652,0.94367613,0.02425765,0.119368234,-0.302573301,-0.436364476,0.638094354,2.39352507,0.525593295,0.292228965,2.950483296,0.902296912,2.381210045,0.057232804,-0.679310498,1.33018004,0.911172194,1.850422086,0.633380898,1.574422108,0.641911143,2.110297082,0.668966882,0.384987594,0.523714686,0.622380082,2.116635705,-3.404168729,-0.578716453,1.018474988,2.689909418,0.956348266,1.634494331,-1.251842942,2.688074542,1.86401912,2.703826849,-0.379520812,0.005237876,0.296662842,-0.616754979,0.636504429,-0.600932337,-0.447135627,0.780353966,-0.810431175,-0.284684222,-0.280033244,2.58784884,-0.653361916,0.871494778,2.639349335,1.954414363,-0.858401465,0.633002314,-0.906642048,1.952077477,0.536031922,0.433745468,1.180437219,-0.740482115,-0.932420327,-1.355516113,-1.538407422,-0.369057388,-0.8407586,-0.156186428,0.36270815,-0.512713462,-0.390428261,-1.705616089,0.24725455,0.247670029,-0.650820931,1.505137473,0.414907794,0.877235687,1.180207288,-0.325464326,0.432812915,-1.149242946,0.918656999,0.948562754,-0.212289963,0.992088168,1.741788974,-0.754611713,-0.166265727,0.598455232,-0.118160607,0.45956458,1.455140568,-0.308321266,2.004881079,0.070426035,0.621112042,0.409989365,3.358480087,2.72044257,0.278224958,1.062569141,0.475532118,-0.6865184,1.679733705,-0.0833484,1.748576417,1.541058665,1.007671672,-0.443128415,-0.087954325,-0.395773142,-0.192275833,0.720094932,-1.529567671,0.192548169,-0.070177844,0.252837672,0.835845935,1.085767771,-0.489544988,0.242261989,1.545551804,0.278126332,2.390703874,1.64906083,0.245640776,-0.812244294,2.393236924,1.80837458,2.838787249,0.498093731,0.922288702,0.204143098,-0.049003303
RT12,0.298552654,0.002993974,-0.402394349,0.181309051,0.287024608,-0.037000031,-0.203556448,-0.384718346,-1.092857241,1.185483854,0.818369722,-0.10219619,1.597354301,-0.088239476,0.137527207,1.718416947,0.53512362,0.559846487,0.109029768,0.614751099,0.265545804,-0.486621657,0.444641101,0.382248697,1.064816947,-3.990775169,0.288908694,0.386396797,-3.318612988,0.071412959,0.64638707,-0.168446339,0.385316525,0.651958035,0.037402668,1.478283751,0.223799525,-3.495431329,0.334651559,0.780951073,0.091601753,0.576609925,-0.037552579,0.752883963,-0.054659312,3.260478783,-0.403494509,0.182742673,0.986232092,-0.53757676,0.331722711,-1.28505814,0.021338371,0.923708325,-4.565158085,0.566622883,-0.093287625,-0.258096875,-0.034325622,0.481791478,-0.675463264,0.198590274,0.577585367,-0.616738842,-0.553938823,-0.476743538,0.760468585,-0.184157967,1.094331422,-4.3263833,0.862356327,0.651756305,0.679526298,-2.005254336,1.037875791,0.788207306,-1.047654642,-3.984268752,-1.551412331,-1.086571007,0.222818977,-0.005206796,0.100546627,-0.435293492,-2.554081701,1.095615029,1.270826519,1.328022663,1.994972091,1.009150249,1.043836286,0.505918427,-0.24264085,0.70155062,0.244959221,0.45305374,0.488591135,1.029508268,0.169211208,0.364508693,0.347809651,-0.508945527,0.327505721,1.140424821,-0.908762393,-0.218225466,0.677704604,-0.284109917,0.187057305,0.468300039,-0.234573322,-3.347176821,0.023329351,0.119016809,0.146254617,-4.360329401,-0.0959041,0.450610435,1.656494373,0.098251776,0.626876921,1.52693414,-0.565186487,0.368147176,1.60630969,0.071956318,0.166321592,-0.590583181,-0.364512484,0.475738117,0.565777835,0.721676597,-0.043662002,-0.085534389,0.815811794,0.146129289,-0.406947771,-0.106552735,0.003076795,-2.243383422,-0.212285967,-3.462536115,0.328259129,0.981247118,0.859717142,-4.480242596,-2.909348195,-3.935937084,0.345290099,0.881368432,0.305228577,0.280300444
