taxa,p_Proteobacteria,p_Bacteroidetes,p_Firmicutes,p_Cyanobacteria,f_Enterobacteriaceae,f_Yersiniaceae,f_Pectobacteriaceae,f_Chromatiaceae,f_Pasteurellaceae,f_Rhodobacteraceae,f_Bradyrhizobiaceae,f_Sphingomonadaceae,f_Desulfovibrionaceae,f_Rikenellaceae,f_Odoribacteraceae,f_Lachnospiraceae,f_Oscillospiraceae,f_Staphylococcaceae,f_Veillonellaceae,f_Bifidobacteriaceae,f_Coriobacteriaceae,g_Klebsiella,g_Sodalis,g_Cupriavidus,g_Paraburkholderia,g_Paracoccus,g_Bradyrhizobium,g_Butyricimonas,g_Anaerostipes,g_Oscillibacter,g_Staphylococcus,g_Veillonella,g_Actinomyces,g_Bifidobacterium,s_Klebsiella.pneumoniae,s_Candidatus.Sodalis.pierantonius,s_Pseudomonas.sp..NC02,s_Bacteroides.fragilis,s_Butyricimonas.faecalis,s_Lachnospiraceae.bacterium.GAM79,s_Anaerostipes.hadrus,s_Bifidobacterium.longum
RT1,0.42599613,0.23819283,0.05820016,-0.022893,0.09841938,-0.02030488,-0.02209201,-0.01979032,-0.02139399,-0.02445424,-0.02083649,-0.02097949,-0.02281357,-0.01719821,-0.01312852,0.02030791,-0.02214002,-0.01923841,-0.02132931,-0.01789165,-0.01708912,-0.02477271,-0.02245668,-0.01561081,-0.02017616,-0.02909667,-0.02077537,-0.02706655,0.01221331,-0.02195009,-0.01792399,-0.02084006,-0.01961892,-0.01615237,-0.02422398,-0.02208641,-0.02013984,0.25751306,-0.0266044,-0.01703873,0.02936268,-0.01846269
RT2,0.604714149,0.011619636,0.009447184,-0.022072546,0.307549733,-0.018999671,-0.020399219,-0.019242933,-0.016924316,-0.020152887,-0.019675854,-0.019627219,-0.022175221,-0.018322995,-0.026057035,-0.017066321,-0.022219393,-0.018663026,-0.020839298,-0.019118304,-0.020422237,-0.009810232,-0.019338437,-0.012064357,-0.017655241,-0.022823089,-0.01866254,-0.027973715,-0.020365659,-0.022179364,-0.016320041,-0.01963858,-0.015642415,-0.018100078,0.008460898,-0.015174284,-0.010912061,0.132044508,-0.028296632,-0.019161725,-0.020004366,-0.019005338
RT3,0.615972016,0.042199365,0.003525895,-0.02074486,0.543669144,-0.019370607,-0.020475649,-0.021056608,-0.02061373,-0.026617728,-0.020226552,-0.020552011,-0.021046782,-0.014812405,-0.019409839,-0.013568381,-0.019892615,-0.019330531,-0.020355813,-0.017849359,-0.01689714,0.00575764,-0.019475787,-0.015928426,-0.019152978,-0.02870537,-0.019988194,-0.010150219,-0.019147555,-0.013628673,-0.017911099,-0.019937799,-0.018489497,-0.015283588,0.005105866,-0.019190434,-0.0203082,0.160871823,-0.007136381,-0.0172168,-0.018752016,-0.016038167
RT4,0.634519361,-0.000572347,0.004460385,-0.020506442,0.567809346,-0.019299964,-0.020548861,-0.021227136,-0.020858663,-0.026989374,-0.020406318,-0.020710779,-0.020740516,-0.017443953,-0.024967932,-0.014995041,-0.021064639,-0.019516337,-0.020736979,-0.01787839,-0.019254271,0.016843567,-0.017971494,-0.016056794,-0.019303793,-0.028627541,-0.020079969,-0.025028007,-0.018783484,-0.018647883,-0.017896354,-0.020146653,-0.01903259,-0.013876694,0.020944764,-0.0171148,-0.020188884,-0.01633312,-0.024633412,-0.017432205,-0.018172979,-0.013682797
RT5,0.522155288,0.111632635,0.06728903,-0.022155048,0.389760519,-0.020660292,-0.021662229,-0.022176315,-0.021402948,-0.026755619,-0.021310299,-0.021690948,-0.022350303,-0.013833344,-0.008858528,0.001932635,-0.020638097,-0.020253021,-0.021569518,-0.018955399,-0.016761176,-0.017632825,-0.021745709,-0.016128239,-0.019872073,-0.029017153,-0.021069591,-0.022394613,-0.016627879,-0.018158407,-0.018836043,-0.020956973,-0.019856686,-0.017293738,-0.018056633,-0.021657441,-0.021278292,0.122088522,-0.021701997,-0.018126032,-0.015578513,-0.018225974
RT6,0.068069997,0.407645333,0.09096381,-0.022174866,-0.061190118,-0.021503426,-0.021803804,-0.021850679,-0.021281638,-0.027580986,-0.020969226,-0.021313184,-0.021852783,-0.017610915,-0.025952485,0.010235782,-0.021913541,-0.020116018,-0.020210259,-0.018206081,-0.019414055,-0.027417738,-0.022283453,-0.016995151,-0.020174045,-0.032460684,-0.020789064,-0.02755302,-0.019544443,-0.021973003,-0.019224759,-0.020938744,-0.020002821,-0.017104295,-0.0283163,-0.022301599,-0.021181246,0.483201957,-0.027811403,0.008954372,-0.018895947,-0.018516307
RT7,0.632199446,-0.006123063,0.000441699,-0.021694699,0.323550084,-0.016765103,-0.02011663,-0.018732845,-0.020259909,0.013812054,-0.019603542,-0.019582866,-0.021557137,-0.017739851,-0.025890988,-0.016489069,-0.02195838,-0.016456564,-0.020733307,-0.018299446,-0.020081643,-0.006388343,-0.019020142,-0.009952083,-0.015442757,0.04632612,-0.018824554,-0.026981728,-0.019999266,-0.021969336,-0.011883952,-0.019656751,-0.015168419,-0.016675243,0.017194912,-0.014658466,-0.013074461,-0.017755475,-0.026216889,-0.018843431,-0.01956015,-0.015920443
RT8,0.6501252,-0.010074024,-0.005041612,-0.019910839,0.607919013,-0.018844346,-0.019968402,-0.020531831,-0.020159148,-0.026145365,-0.019701475,-0.020029834,-0.02069189,-0.016913134,-0.02494372,-0.015759322,-0.020728563,-0.018836868,-0.020071734,-0.017296093,-0.018828027,0.055868259,-0.013944736,-0.014366061,-0.018322909,-0.019140604,-0.019136903,-0.025805181,-0.01793468,-0.020477907,-0.016680041,-0.019558847,-0.018359159,-0.010956824,0.05712612,-0.012763625,-0.019346342,-0.011960708,-0.025978854,-0.016814119,-0.017358537,-0.010739764
RT9,0.582293646,0.052385765,0.004738251,-0.022502487,0.190871563,-0.019564637,-0.021899103,-0.018738187,-0.020894557,0.012220479,-0.020780468,-0.018793271,-0.020872732,-0.01536439,-0.021941345,-0.01392978,-0.022677984,-0.01587029,-0.021423384,-0.019283166,-0.01989802,-0.014450424,-0.022485455,-0.011059429,-0.017057036,0.028295036,-0.020038912,-0.024991524,-0.02072237,-0.022740637,-0.01232927,-0.020675505,-0.018784183,-0.018456789,-0.003196284,-0.021791739,-0.014758627,0.005976215,-0.020324919,-0.018324406,-0.020361077,-0.019362049
RT10,0.512548031,0.115850142,0.057895763,-0.017409016,0.134035744,-0.020308459,-0.022261047,-0.015367467,-0.021627986,0.010652698,-0.020854361,-0.019614842,-0.021390794,-0.017277262,-0.025825329,0.013264794,-0.022888983,-0.017359411,-0.021639894,-0.020078951,-0.018374237,-0.022699453,-0.022310914,-0.014047535,-0.019570524,0.018778786,-0.020819025,-0.028761287,-0.006843449,-0.022738129,-0.015079711,-0.021194925,-0.016799086,-0.01888765,-0.017083964,-0.020687152,-0.017154317,-0.0196865,-0.028809318,-0.015260475,0.011646282,-0.019518024
RT11,0.222400709,0.38449036,0.142764001,-0.023351214,-0.052785743,-0.022554424,-0.022949624,-0.022878195,-0.0202902,-0.026584985,-0.022090837,-0.022495402,-0.02312646,-0.005102902,0.123164652,0.01856886,-0.014178513,-0.021167583,-0.022267328,-0.018695805,-0.019224299,-0.028364827,-0.023432373,-0.017963169,-0.021262426,-0.031605194,-0.021940484,0.108208559,-0.021187319,-0.013888261,-0.020260646,-0.022134962,-0.021070756,-0.017520308,-0.029328685,-0.023451718,-0.022352565,0.167400815,0.12499937,-0.019507141,-0.020817126,-0.019027717
RT12,0.49955807,0.020489897,-0.001256252,-0.022260341,0.121849822,-0.019102011,-0.021106271,-0.019182067,-0.020451701,0.005714377,-0.01988334,-0.020241498,-0.021784323,-0.018033966,-0.025808158,-0.016123516,-0.021828495,-0.018278701,-0.020630552,-0.0185947,-0.019531396,-0.01732601,-0.021289774,-0.013153691,-0.017385756,0.009669307,-0.019797884,-0.027564763,-0.020138344,-0.021793371,-0.016639612,-0.019957264,-0.017026121,-0.017327952,-0.016189219,-0.021019955,-0.017177839,0.04836865,-0.027792807,-0.018381466,-0.019777051,-0.018225079
RT13,0.619643174,-0.005928385,0.010662445,-0.022301129,0.242848998,-0.017069283,-0.020083243,-0.018282783,-0.019959107,-0.025160031,-0.019755801,-0.018497545,-0.022222613,-0.018472256,-0.026511841,-0.015506552,-0.021892977,-0.008670843,-0.019358799,-0.01792021,-0.019744812,-0.011842634,-0.020062954,-0.008742796,-0.015263651,-0.029281068,-0.019249261,-0.027919226,-0.02031117,-0.021650013,0.00153876,-0.017375431,-0.012609043,-0.017139792,0.006293098,-0.017307935,-0.010984638,-0.00927759,-0.028242144,-0.019107237,-0.019949877,-0.01697261
RT15,0.42353335,0.281905692,0.022192863,-0.022243363,0.141871862,-0.019904728,-0.021903466,-0.021605146,-0.021688869,-0.023384241,-0.021078388,-0.021436545,-0.021146563,-0.013337209,-0.012861528,-0.009880813,-0.020919621,-0.019816754,-0.020885105,-0.018722528,-0.018297977,-0.0239974,-0.02223166,-0.014754735,-0.02001598,-0.028927748,-0.020739771,-0.010553095,-0.020364714,-0.020266579,-0.018466066,-0.020525482,-0.019214829,-0.017227131,-0.023838438,-0.021853899,-0.020587943,0.064975942,-0.002753517,-0.019659409,-0.019774513,-0.017685171
RT16,0.53738267,0.0942878,0.02607979,-0.02285843,0.11123835,-0.0195998,-0.02166636,-0.0201825,-0.01856869,-0.02466189,-0.02048399,-0.02072308,-0.017416,-0.01842076,-0.02194245,-0.01281634,-0.02173876,-0.0188414,-0.02142891,-0.01851858,-0.02055461,-0.02257358,-0.02187578,-0.01491044,-0.01931301,-0.03031848,-0.02054116,-0.02614289,-0.02073644,-0.02149605,-0.01744307,-0.02148726,-0.01913449,-0.01831344,-0.02237092,-0.02141271,-0.01874385,-0.01645941,-0.02549568,-0.01862527,-0.02037514,-0.01914923
RT17,0.595674342,0.030486831,0.012669875,-0.022826689,0.283479998,-0.018308187,-0.021031051,-0.02045704,-0.016453037,-0.022069357,-0.018188664,-0.019395718,-0.022560999,-0.015941199,-0.024936351,-0.014031227,-0.02260517,-0.011246212,-0.019493084,-0.018759361,-0.020493301,-0.01161509,-0.020632212,0.000420801,-0.011090088,-0.025152774,-0.016977735,-0.028166788,-0.020755991,-0.022576999,-0.003154791,-0.018119529,-0.012671267,-0.017504508,-0.004966082,-0.018750026,-0.003437499,0.092780687,-0.028298086,-0.019552057,-0.020394698,-0.018229489
RT18,0.474333017,0.048539384,0.02439819,-0.022583442,0.170992923,-0.018718003,-0.020674773,-0.021437157,-0.020830143,0.003701567,-0.020338881,-0.021186463,-0.02152102,-0.016024305,-0.025041475,-0.00863585,-0.019469927,-0.017225402,-0.021457445,-0.01909354,-0.020295593,-0.019214249,-0.020631386,-0.013400164,-0.017841848,0.00790954,-0.019938298,-0.026697604,-0.018590272,-0.018215478,-0.015120839,-0.021197073,-0.015670498,-0.018023247,-0.018497332,-0.02031437,-0.019363529,-0.015196236,-0.026515705,-0.013251587,-0.017556282,-0.018961102
RT19,0.567848774,0.028047237,0.026202723,-0.023097574,0.243171503,-0.019628376,-0.021222459,-0.022083775,-0.021239073,0.0544815,-0.019834582,-0.020192739,-0.022355457,-0.01541695,-0.020418512,-0.012603563,-0.022587484,-0.016215917,-0.021169047,-0.018875996,-0.021064253,-0.018048932,-0.020852119,-0.003864099,-0.016247585,0.0940235,-0.019665318,-0.023705995,-0.020901791,-0.022385157,-0.012509707,-0.020358824,-0.017286902,-0.017261325,-0.012469842,-0.01858271,-0.008547473,0.022878873,-0.019082314,-0.018473646,-0.020387196,-0.018011495
RT20,0.638728858,0.009489528,-0.007558447,-0.020527588,0.586446149,-0.019313797,-0.02037466,-0.020999749,-0.020468889,-0.025914527,-0.020079998,-0.020406958,-0.020896366,-0.017333255,-0.025372841,-0.014893548,-0.021096586,-0.01923939,-0.020335718,-0.017901857,-0.019010299,0.021762433,-0.018078663,-0.013758388,-0.01874027,-0.01854615,-0.01933949,-0.026811426,-0.018590624,-0.020608892,-0.017506751,-0.019192638,-0.014588028,-0.015406629,0.020171019,-0.017364582,-0.020008893,0.116395156,-0.027134343,-0.017999436,-0.018094972,-0.015976333
RT21,0.498414074,0.117040027,0.06545261,-0.022154286,0.221846172,-0.019847155,-0.021834565,-0.020785891,-0.021915846,-0.013848929,-0.021374792,-0.021701683,-0.021515819,-0.009874062,-0.011756959,-0.015375517,-0.021685913,-0.019363326,-0.021796145,-0.024187173,-0.019948659,-0.00931822,-0.021166801,-0.019568186,-0.020305791,-0.009008959,-0.021772139,-0.015740371,-0.021989451,-0.02133016,-0.018701208,-0.021790007,-0.021782174,-0.024963833,-0.006900082,-0.020533357,-0.019339922,0.002761252,-0.014770775,-0.022386791,-0.02088036,-0.025392995
RT22,0.492400931,0.098729678,0.022370521,-0.021731411,0.198740233,-0.019633659,-0.021392206,-0.019507171,-0.02093308,-0.013272235,-0.020468522,-0.02171328,-0.020370104,-0.017584017,-0.015498126,-0.004130418,-0.021711328,-0.019023632,-0.02041041,-0.024593543,-0.019896001,-0.01062961,-0.020585244,-0.0205276,-0.019535401,-0.008607446,-0.020309135,-0.015119639,-0.014114546,-0.021496133,-0.018700228,-0.020051624,-0.018538607,-0.025878363,-0.006819888,-0.01927201,-0.017990332,0.040032066,-0.013407061,-0.018799227,-0.004481136,-0.024871624
RT23,0.637536785,0.006779098,-0.001431956,-0.021078988,0.33500843,-0.017974396,-0.020711888,-0.018383407,-0.01932545,-0.012002869,-0.017890311,-0.018159939,-0.021194631,-0.023055938,-0.009745917,-0.019636557,-0.020142522,-0.015942136,-0.021817687,-0.023495499,-0.023301639,-0.002938293,-0.019658591,-0.002080918,-0.015210045,-0.006599918,-0.016185452,-0.014743881,-0.023257735,-0.018976511,-0.011204586,-0.021896488,-0.017864097,-0.024391197,0.007749132,-0.017637596,-0.01515133,-0.015636596,-0.012992517,-0.02366313,-0.023332915,-0.022283811
RT24,0.499185931,0.085894804,0.026382945,-0.02198353,0.202818013,-0.019646116,-0.021211549,-0.019398378,-0.021822256,-0.006338888,-0.020821236,-0.020657442,-0.02228109,-0.02598275,-0.01769967,-0.022894929,-0.022285617,-0.013067666,-0.021541343,-0.024753717,-0.024135954,-0.011244386,-0.020537516,-0.016514582,-0.019907895,-0.001466837,-0.021099543,-0.016633175,-0.024241231,-0.022222964,-0.010025692,-0.021803578,-0.017968055,-0.026174133,-0.009813994,-0.019835083,-0.020307966,0.264998098,-0.016310257,-0.025445165,-0.024602524,-0.025295163
RT25,0.525821209,0.139174447,0.02553801,-0.020172405,0.235283474,-0.020253894,-0.021057702,-0.020839129,-0.021259397,-0.008351348,-0.020487756,-0.020361968,-0.022074326,-0.02590238,-0.016078396,0.024335814,-0.020943752,-0.019362855,-0.021223248,-0.024044841,-0.02323067,-0.008942534,-0.020291588,-0.012201296,-0.019092834,-0.008904532,-0.020607283,-0.014806605,-0.021238605,-0.020278725,-0.018145047,-0.021271094,-0.018333381,-0.024797923,-0.005803809,-0.019475835,-0.01708384,0.156553236,-0.013421413,0.003969421,-0.019781685,-0.024454699
RT26,0.104936641,0.301111332,0.038273798,-0.020726104,0.052442261,-0.021124249,-0.021045099,-0.020852916,-0.021114051,-0.013177392,-0.021520927,-0.021364931,-0.020952859,-0.02451941,-0.007686769,-0.007200219,-0.020761642,-0.021696551,-0.021392109,-0.02393628,-0.022651488,-0.014973978,-0.02056555,-0.02508669,-0.022274805,-0.008812391,-0.02176149,-0.007977184,-0.022529447,-0.020692564,-0.022581877,-0.021783492,-0.022243367,-0.025071885,-0.014116847,-0.020539205,-0.021223004,0.404717188,-0.004762943,-0.02385968,-0.022750098,-0.024189623
RT27,0.429057432,0.175240491,0.099182955,-0.022322777,0.16410845,-0.021268564,-0.022186946,-0.021323472,-0.021568203,-0.002229215,-0.021583901,-0.021910988,-0.022325478,-0.011881536,-0.005082995,0.108990763,-0.021138318,-0.02256458,-0.022834176,-0.023154777,-0.019900857,-0.013507433,-0.021575764,-0.020945813,-0.022020653,-0.002261635,-0.021499763,-0.014797251,0.05592439,-0.020543742,-0.022869616,-0.023143669,-0.021885919,-0.023574654,-0.012202042,-0.021673191,-0.021293245,-0.008391997,-0.013956336,0.069130104,0.074319228,-0.02315015
RT28,0.372554306,0.162627893,0.040994306,-0.022128666,0.145146034,-0.021287741,-0.021867133,-0.021319384,-0.021614591,-0.013917259,-0.021938997,-0.022172604,-0.021450725,0.002237155,-0.013134105,-0.002230872,-0.020116022,-0.022318254,-0.021105727,-0.024884362,-0.022498813,-0.012253121,-0.021507486,-0.02235115,-0.021399512,-0.009867303,-0.022157978,-0.014587389,-0.006798681,-0.0195955,-0.022908438,-0.022710503,-0.021771878,-0.025949073,-0.010657331,-0.021341281,-0.021518177,0.026378027,-0.013406851,-0.020822379,-0.00019484,-0.025055782
RT29,0.449580815,0.257733231,0.02643597,-0.021828544,0.19487011,-0.020539992,-0.021317704,-0.020319679,-0.022065359,-0.014873692,-0.020896909,-0.0214107,-0.021981018,0.003288245,0.013386067,-0.008283713,-0.020440773,-0.022453658,-0.022042783,-0.024726068,-0.018733512,-0.012282901,-0.021106003,-0.01557498,-0.019621907,-0.010388621,-0.021052485,-0.015006368,-0.02033948,-0.019864361,-0.022904143,-0.022194342,-0.021017815,-0.025856568,-0.010837146,-0.020780613,-0.020485715,0.036252629,-0.014078497,-0.019200328,-0.019159015,-0.025209717
RT30,0.566327973,0.063016927,0.020583358,-0.022099042,0.274769624,-0.019114569,-0.021436795,-0.019311576,-0.020800845,-0.012714259,-0.021176214,-0.021252179,-0.022158833,-0.002803547,-0.01797833,-0.013581931,-0.017667076,-0.019817838,-0.018659067,0.010872291,-0.009228989,-0.008798363,-0.020339332,-0.010337301,-0.016476524,-0.008346925,-0.020978489,-0.016508786,-0.021045691,-0.014947173,-0.019101317,-0.01724555,-0.014621839,0.02799054,-0.003358242,-0.018627596,-0.017679329,-0.006359828,-0.01601657,-0.012309124,-0.018205054,0.007481959
RT31,0.552401962,0.077091071,0.019942339,-0.022104741,0.25643,-0.019745546,-0.02158526,-0.020531383,-0.021001865,0.007347336,-0.019959704,-0.02068474,-0.021909887,-0.01458084,-0.011314757,-0.000692641,-0.020969172,-0.017291993,-0.022674577,-0.005703972,0.004854498,-0.009011435,-0.020688386,-0.013462173,-0.017918175,0.009977664,-0.019389276,-0.010745072,-0.014792631,-0.020122878,-0.014788661,-0.02280951,-0.020309958,0.002719327,-0.006701222,-0.019863681,-0.0179553,0.017718063,-0.006731243,-0.023446295,-0.009318988,0.003578158
RT32,0.574013622,-0.0000519,0.033817154,-0.021941445,0.245643819,-0.019324698,-0.021669142,-0.0200731,-0.008516338,-0.012817863,-0.019868399,-0.02045766,-0.022325516,-0.012067297,-0.016867466,-0.022840261,-0.021258551,-0.008298457,-0.020247742,-0.001119564,-0.010532256,-0.006080806,-0.020719652,-0.014135883,-0.01842592,-0.007597086,-0.019243222,-0.015481608,-0.023736202,-0.020296103,0.002161212,-0.018826144,-0.006072311,0.015921662,0.006866824,-0.018826068,-0.015899378,-0.006371963,-0.012793197,-0.023755924,-0.022913283,0.015899294
RT33,0.22413498,0.21171749,0.16735332,-0.02186103,0.08939595,-0.02187827,-0.02204511,-0.02191759,-0.02172103,-0.01476885,-0.02210194,-0.02151982,-0.02215398,-0.02123875,-0.01767259,0.03326033,-0.02102136,-0.02249546,-0.02200859,-0.02498671,-0.02362455,-0.01403485,-0.02154191,-0.02441398,-0.02289117,-0.01031915,-0.0223979,-0.01642207,-0.02138247,-0.020846,-0.02339479,-0.02234447,-0.02324628,-0.02615427,-0.01319183,-0.02132422,-0.02213555,0.01585865,-0.01606615,-0.02424578,-0.01925136,-0.02522095
RT34,0.640958324,-0.011751886,-0.000625206,-0.021062981,0.33074498,-0.017342709,-0.019333691,-0.018133391,-0.020108021,-0.0064916,-0.018778507,-0.018014752,-0.021463928,-0.022774227,-0.016035244,-0.025575066,-0.021256862,-0.000541254,-0.020378307,-0.018512831,-0.023237322,0.002277395,-0.01829758,-0.000773591,-0.013129656,0.001205742,-0.017170143,-0.013950761,-0.023456767,-0.021000192,0.016008725,-0.019484392,-0.014321279,-0.024991941,0.017527002,-0.014594976,-0.008780272,0.026239225,-0.011006404,-0.023964079,-0.02381806,-0.024468716
RT35,0.643958572,-0.00136534,-0.013196112,-0.021251194,0.32931363,-0.0158647,-0.019413696,-0.019624382,-0.019811992,-0.008866272,-0.017774707,-0.017143139,-0.021461749,-0.023016716,-0.01662322,-0.024414412,-0.021417577,-0.018310707,-0.020712122,-0.022871671,-0.023041926,0.000890357,-0.018236682,0.008305132,-0.01552009,-0.002630196,-0.016841178,-0.015281927,-0.023373191,-0.021354924,-0.015488604,-0.020051236,-0.013303403,-0.024189846,0.014507607,-0.014487251,-0.005719209,0.032201905,-0.01433541,-0.023470318,-0.023734484,-0.022521122
RT36,0.639963908,0.018264466,-0.011769104,-0.020475211,0.530493673,-0.019148717,-0.020351889,-0.020242966,-0.020922104,-0.013413728,-0.020941223,-0.020779042,-0.020914962,-0.024432249,-0.013197691,-0.024878069,-0.020447325,-0.02148939,-0.01616282,-0.023855338,-0.022906283,0.001649829,-0.018540281,-0.012921129,-0.017044912,-0.006990763,-0.019460539,-0.008286282,-0.023070794,-0.018993218,-0.019563654,-0.005502462,-0.01450595,-0.02443012,0.008608057,-0.017087743,-0.017278127,0.254966075,-0.002807858,-0.024271028,-0.023413687,-0.02300107
RT37,0.592833442,0.045159736,0.035086768,-0.021584036,0.259933862,-0.019170605,-0.02136325,-0.020515673,-0.017244069,-0.013227993,-0.019961432,-0.01902674,-0.018618348,-0.023439898,-0.013876268,-0.015424694,-0.021171741,-0.019330128,-0.021261149,-0.024644463,-0.023690253,-0.01039365,-0.020753846,-0.014826363,-0.018643652,-0.008674534,-0.019503754,-0.010760006,-0.022506588,-0.0207933,-0.018295777,-0.021110567,-0.019429968,-0.025748433,-0.004884712,-0.019674855,-0.017778058,-0.009303167,-0.00326057,-0.024992064,-0.02116286,-0.024863631
RT38,0.64160829,-0.020274624,-0.011647509,-0.020634415,0.339475383,-0.016801967,-0.020837142,-0.018613063,-0.02078105,-0.003636483,-0.021121632,-0.019143458,-0.021591437,-0.025161403,-0.016941459,-0.023848542,-0.021547265,-0.016541163,-0.020412042,-0.024107278,-0.023446301,-0.003035059,-0.019708123,-0.015056295,-0.016224737,0.00128695,-0.020268769,-0.015894824,-0.022880989,-0.021484612,-0.013452882,-0.019489042,-0.016403261,-0.02483577,0.00288972,-0.018117405,-0.016710998,-0.006488743,-0.015571906,-0.024706813,-0.022614172,-0.0236132
RT39,0.570900976,0.053664638,0.006764438,-0.021681408,0.299989876,-0.019667742,-0.021657028,-0.020117036,-0.021781164,-0.010337446,-0.020438277,-0.020533943,-0.020714371,-0.007684111,-0.010762614,-0.022478758,-0.020783778,-0.018076677,-0.02111031,-0.023430631,-0.022342118,-0.006683506,-0.020715183,-0.01253877,-0.015987676,-0.00524601,-0.019689538,-0.007814213,-0.024217085,-0.019857951,-0.01548537,-0.021147845,-0.01759784,-0.023782152,-0.00100189,-0.019736038,-0.019239265,0.078342209,-0.000864877,-0.023519877,-0.024578378,-0.022410841
RT40,0.564553179,0.02276881,0.026827584,-0.022135365,0.29553776,-0.020199689,-0.021579556,-0.020892791,-0.021011171,0.003736178,-0.021296831,-0.020661915,-0.022333213,-0.025529016,-0.013478082,-0.014049913,-0.022081047,-0.018238566,-0.019357151,0.010298757,-0.01178439,-0.004793703,-0.020678211,-0.013831829,-0.017940834,0.01161241,-0.021382477,-0.010818539,-0.017978466,-0.021801599,-0.015736478,-0.018078794,-0.008753697,0.029356507,-0.0000289,-0.019486157,-0.013422418,-0.019495295,-0.003825637,-0.012250569,-0.011171382,0.019718712
